Datetime;Branch;Gender;Age;NPS;CSI;Loyalty;CES;Account Opening;ATM Service;Mobile Banking;Internet Banking;Customer Service;Loan Application;Complaint Handling;Branch Cleanliness;Staff Friendliness;Transaction Speed;Improvement_Feedback
14/04/2025 21.13;Yasmin;Female;63;4;4;3;4;4;4;3;4;4;3;4;4;4;4;overall good
30/04/2025 20.44;Yasmin;Male;23;7;4;4;3;3;4;3;4;4;3;4;4;5;4;overall good
01/04/2025 00.20;Baranangsiang;Female;64;9;4;4;5;5;4;4;4;4;5;4;4;4;4;overall good
20/04/2025 09.22;Baranangsiang;Male;26;6;4;3;3;4;3;4;4;4;4;4;3;3;4;overall good
26/04/2025 03.12;Bojonggede;Female;63;9;4;3;4;4;3;4;3;5;3;4;3;4;4;overall good
14/04/2025 19.27;Bogor Tengah;Male;25;4;4;3;4;4;4;4;4;4;4;4;4;3;4;overall good
11/04/2025 23.39;Cijeruk;Female;58;10;3;2;4;3;4;4;4;3;4;5;4;4;4;overall good
28/04/2025 21.48;Kemang;Male;33;10;4;3;3;3;3;4;4;4;4;3;3;3;3;overall good
28/04/2025 02.51;Bogor Tengah;Female;37;9;4;4;3;4;3;4;4;4;4;5;4;3;3;overall good
25/04/2025 22.01;Bogor Timur;Male;53;9;4;3;4;4;4;4;4;3;4;3;5;3;4;overall good
13/04/2025 03.26;Cileungsi;Female;55;4;4;4;4;4;4;3;4;5;4;4;4;4;4;overall good
17/04/2025 11.44;Babakan Madang;Male;45;7;3;4;3;3;3;5;4;4;3;3;3;4;4;overall good
24/04/2025 09.32;Babakan Madang;Female;64;9;4;4;4;4;5;4;3;4;3;5;4;3;4;overall good
12/04/2025 03.53;Bogor Selatan;Male;37;9;3;4;4;3;3;3;3;4;3;4;3;3;4;overall good
27/04/2025 00.04;Ciomas;Female;47;4;4;4;4;4;4;5;4;4;4;5;4;5;3;overall good
14/04/2025 22.42;Bogor Tengah;Male;65;1;4;5;4;4;5;5;4;5;4;4;4;4;4;overall good
04/04/2025 16.34;Bogor Timur;Female;46;8;4;4;4;4;5;5;5;5;5;4;5;5;4;overall good
11/04/2025 14.38;Cijeruk;Male;32;10;4;4;4;5;5;4;5;4;4;4;4;5;5;overall good
25/04/2025 05.22;Sukaraja;Female;38;9;3;3;4;3;3;4;3;3;2;4;4;3;3;improve Loan Application
11/04/2025 00.54;Yasmin;Male;36;8;4;4;5;4;5;4;4;4;4;4;4;5;4;overall good
18/04/2025 06.48;Cibinong;Female;33;6;4;4;4;4;3;4;4;4;3;4;4;3;4;overall good
24/04/2025 21.59;Tanah Sareal;Male;27;9;5;4;4;4;5;4;4;5;4;5;4;5;5;overall good
24/04/2025 09.54;Kemang;Female;21;7;4;4;3;3;3;3;4;4;3;4;4;4;3;overall good
24/04/2025 19.49;Bojonggede;Male;60;10;4;3;4;5;3;4;4;3;4;2;3;4;4;improve Complaint Handling
28/04/2025 23.51;Baranangsiang;Female;53;9;4;4;4;3;4;3;4;4;2;4;3;5;3;improve Loan Application
24/04/2025 05.16;Tanah Sareal;Male;24;8;4;4;4;5;5;5;4;4;4;4;4;4;4;overall good
09/04/2025 11.39;Cijeruk;Female;23;8;4;4;5;4;4;5;5;5;4;4;3;4;4;overall good
16/04/2025 07.45;Babakan Madang;Male;28;8;4;3;4;4;4;4;4;5;4;4;4;5;4;overall good
29/04/2025 04.55;Bogor Tengah;Female;21;8;4;4;4;3;4;5;3;4;4;3;4;4;4;overall good
10/04/2025 02.02;Bogor Selatan;Male;41;10;5;4;4;5;5;5;4;5;5;4;4;5;4;overall good
30/04/2025 18.17;Cijeruk;Female;37;10;4;3;4;4;4;3;3;4;5;5;3;4;4;overall good
11/04/2025 05.17;Ciomas;Male;44;10;3;4;4;4;4;4;4;4;3;4;3;4;4;overall good
20/04/2025 10.43;Gunung Putri;Female;65;8;4;3;3;4;4;3;4;3;4;5;3;4;4;overall good
28/04/2025 22.57;Cileungsi;Male;49;9;2;3;4;3;3;3;4;4;3;2;2;4;3;improve Complaint Handling, Branch Cleanliness
12/04/2025 10.43;Cibinong;Female;27;6;3;4;4;4;4;3;3;4;4;4;3;2;4;improve Staff Friendliness
08/04/2025 01.55;Cijeruk;Male;48;1;4;5;4;5;4;3;4;4;4;3;4;3;4;overall good
21/04/2025 11.06;Tanah Sareal;Female;51;1;4;4;4;4;4;4;4;5;5;4;4;4;5;overall good
26/04/2025 02.21;Caringin;Male;29;6;4;4;4;4;4;4;4;5;4;4;4;4;4;overall good
13/04/2025 04.24;Cijeruk;Female;41;8;4;3;3;3;3;4;3;4;4;4;4;4;4;overall good
08/04/2025 22.18;Cijeruk;Male;57;9;4;5;4;5;3;4;3;3;5;3;5;3;3;overall good
05/04/2025 16.11;Bogor Barat;Female;34;3;4;4;4;3;4;4;3;3;4;3;5;4;3;overall good
28/04/2025 04.51;Babakan Madang;Male;42;10;4;4;4;5;3;4;4;5;4;4;4;4;4;overall good
06/04/2025 21.15;Cijeruk;Female;37;10;4;4;4;4;4;4;4;4;4;4;4;4;5;overall good
29/04/2025 00.05;Bojonggede;Male;64;1;4;5;4;5;4;4;4;4;5;5;4;4;4;overall good
14/04/2025 19.35;Sukaraja;Female;62;7;4;3;4;5;4;4;4;3;4;3;5;4;3;overall good
22/04/2025 16.42;Bojonggede;Male;41;3;3;4;3;3;3;4;3;3;3;4;3;4;4;overall good
08/04/2025 00.45;Bogor Timur;Female;45;8;4;3;4;4;4;3;5;5;4;4;3;3;4;overall good
21/04/2025 11.27;Baranangsiang;Male;61;2;4;3;4;4;5;3;3;2;4;4;3;5;4;improve Customer Service
04/04/2025 20.10;Kemang;Female;57;7;3;4;3;4;4;5;3;4;4;4;3;3;4;overall good
15/04/2025 03.27;Baranangsiang;Male;42;10;4;4;4;3;3;3;5;4;4;4;4;4;4;overall good
22/04/2025 14.20;Cileungsi;Female;59;8;4;5;4;5;4;5;4;4;5;3;4;4;4;overall good
21/04/2025 02.19;Bojonggede;Male;58;8;4;3;4;4;5;3;3;4;3;3;3;4;4;overall good
12/04/2025 09.21;Baranangsiang;Female;32;1;4;4;4;4;4;3;3;4;4;4;4;3;4;overall good
09/04/2025 02.27;Cileungsi;Male;65;7;4;4;4;3;4;3;4;5;4;3;4;3;4;overall good
27/04/2025 14.58;Leuwiliang;Female;27;10;4;4;4;4;4;4;4;4;4;4;4;4;4;overall good
06/04/2025 01.05;Bogor Barat;Male;22;7;4;4;3;3;4;4;3;3;4;4;4;4;3;overall good
16/04/2025 00.26;Cileungsi;Female;60;10;4;4;4;3;4;4;4;5;4;4;4;5;4;overall good
07/04/2025 03.16;Cibinong;Male;36;8;4;4;3;4;4;4;4;3;3;4;4;4;3;overall good
02/04/2025 16.57;Tanah Sareal;Female;54;0;4;4;4;4;4;3;3;5;4;4;3;4;4;overall good
27/04/2025 05.49;Bojonggede;Male;41;3;4;3;3;3;2;4;3;3;4;3;3;3;3;improve ATM Service
29/04/2025 16.22;Cileungsi;Female;56;9;4;4;4;5;5;4;3;5;3;4;3;3;4;overall good
26/04/2025 09.52;Kemang;Male;50;8;4;4;3;3;3;4;3;4;4;4;4;3;3;overall good
27/04/2025 04.45;Cijeruk;Female;40;3;4;3;4;4;3;5;4;4;4;4;4;4;5;overall good
21/04/2025 00.15;Cibinong;Male;26;10;4;3;4;4;4;4;4;3;4;3;3;4;3;overall good
26/04/2025 09.42;Cileungsi;Female;30;9;4;4;4;4;5;4;4;4;4;4;4;4;3;overall good
24/04/2025 21.08;Tanah Sareal;Male;43;9;4;3;3;4;3;3;3;4;4;4;4;3;4;overall good
15/04/2025 05.16;Caringin;Female;40;10;4;4;4;5;4;5;4;3;4;4;4;3;4;overall good
10/04/2025 03.42;Kemang;Male;35;8;4;4;3;4;3;4;4;4;3;4;4;3;4;overall good
08/04/2025 22.13;Gunung Putri;Female;56;9;4;4;4;4;4;3;4;4;3;3;4;4;3;overall good
21/04/2025 11.56;Leuwiliang;Male;45;9;4;4;4;4;5;4;3;3;4;3;3;5;4;overall good
14/04/2025 19.40;Cibinong;Female;54;8;4;4;4;4;3;4;4;4;4;4;3;4;3;overall good
09/04/2025 20.31;Cijeruk;Male;38;9;4;4;4;4;4;4;3;4;4;4;4;3;4;overall good
30/04/2025 23.42;Tanah Sareal;Female;39;10;4;5;4;5;4;3;4;4;4;3;4;3;4;overall good
10/04/2025 02.47;Babakan Madang;Male;38;8;4;4;4;4;3;3;4;4;4;4;5;4;3;overall good
10/04/2025 00.37;Ciomas;Female;22;9;4;4;4;4;3;4;5;4;4;5;4;4;4;overall good
01/04/2025 09.33;Bogor Selatan;Male;39;10;4;4;4;4;3;4;4;3;4;4;4;4;4;overall good
11/04/2025 13.02;Cibinong;Female;26;10;4;4;4;4;5;5;5;4;4;5;4;4;4;overall good
19/04/2025 00.42;Ciomas;Male;47;10;4;4;4;4;4;3;3;4;5;4;4;5;3;overall good
04/04/2025 21.28;Babakan Madang;Female;65;8;4;4;4;4;4;5;4;4;3;3;5;3;4;overall good
04/04/2025 11.10;Tanah Sareal;Male;24;10;4;5;4;4;4;4;4;4;3;4;4;4;4;overall good
19/04/2025 12.34;Cijeruk;Female;51;10;4;4;4;4;3;4;2;4;4;3;4;4;3;improve Internet Banking
13/04/2025 02.03;Bogor Tengah;Male;28;5;4;3;3;4;4;3;3;4;4;3;4;4;4;overall good
10/04/2025 16.03;Leuwiliang;Female;49;9;4;3;5;4;3;4;5;5;4;4;4;3;5;overall good
23/04/2025 22.52;Babakan Madang;Male;27;7;4;4;4;5;5;4;3;3;5;3;4;3;4;overall good
08/04/2025 16.47;Leuwiliang;Female;64;2;3;4;3;4;4;4;3;3;3;5;4;3;3;overall good
24/04/2025 08.40;Bogor Barat;Male;56;8;4;4;4;5;4;4;3;3;3;2;5;4;3;improve Complaint Handling
11/04/2025 13.44;Dramaga;Female;33;9;4;4;4;4;3;4;4;4;5;4;3;4;4;overall good
01/04/2025 17.33;Bogor Selatan;Male;36;8;4;4;5;4;4;5;3;4;4;4;5;4;4;overall good
12/04/2025 19.13;Baranangsiang;Female;38;8;3;4;3;4;4;3;4;4;3;4;3;4;3;overall good
29/04/2025 22.38;Bogor Tengah;Male;23;8;4;4;4;3;5;4;4;4;4;3;3;4;4;overall good
08/04/2025 15.43;Tanah Sareal;Female;44;1;3;4;4;3;4;4;4;4;3;3;5;4;4;overall good
03/04/2025 21.57;Caringin;Male;26;8;4;3;4;4;5;4;3;4;4;3;3;4;5;overall good
07/04/2025 02.35;Bogor Barat;Female;43;7;4;4;4;4;3;4;3;5;4;4;3;4;4;overall good
22/04/2025 07.08;Caringin;Male;35;10;4;4;4;4;4;3;4;5;4;4;5;3;4;overall good
07/04/2025 12.58;Yasmin;Female;22;8;4;4;3;4;3;4;3;4;3;4;3;4;4;overall good
28/04/2025 03.18;Cileungsi;Male;23;8;4;4;4;4;4;4;4;4;3;4;4;4;4;overall good
28/04/2025 12.15;Dramaga;Female;55;1;3;3;4;2;3;4;3;3;3;3;3;3;4;improve Account Opening
14/04/2025 08.46;Baranangsiang;Male;55;10;3;4;4;3;3;4;4;3;4;4;4;4;4;overall good
22/04/2025 19.34;Kemang;Female;56;9;4;4;4;4;4;4;4;3;4;4;4;4;4;overall good
01/04/2025 00.50;Dramaga;Male;37;8;4;4;4;4;3;4;4;4;4;3;3;4;4;overall good
18/04/2025 16.10;Ciawi;Female;45;7;4;4;4;3;4;4;4;4;4;4;4;4;5;overall good
27/04/2025 03.55;Kemang;Male;36;9;4;4;4;4;5;4;4;5;4;4;4;4;5;overall good
27/04/2025 18.30;Leuwiliang;Female;33;8;4;4;5;4;4;5;4;4;3;4;3;4;4;overall good
16/04/2025 15.11;Tanah Sareal;Male;60;10;4;4;4;4;4;4;4;3;5;4;4;5;4;overall good
03/04/2025 03.00;Bogor Selatan;Female;27;7;3;5;4;4;3;4;5;4;3;4;3;4;4;overall good
06/04/2025 04.43;Tanah Sareal;Male;32;1;4;4;4;3;4;5;3;4;5;4;4;4;4;overall good
24/04/2025 18.47;Caringin;Female;33;10;4;3;4;3;3;4;4;4;3;4;3;5;4;overall good
03/04/2025 09.11;Ciawi;Male;60;8;4;4;4;4;4;4;4;4;4;4;4;4;4;overall good
01/04/2025 15.14;Bojonggede;Female;35;7;5;4;4;4;4;4;4;4;4;3;4;3;4;overall good
23/04/2025 17.19;Yasmin;Male;62;7;3;3;4;3;3;4;4;4;3;4;4;4;4;overall good
18/04/2025 21.59;Bogor Barat;Female;44;8;3;4;4;3;4;4;4;4;4;3;3;4;3;overall good
04/04/2025 10.00;Bogor Barat;Male;60;9;3;3;4;4;4;4;4;3;3;3;3;4;3;overall good
05/04/2025 17.09;Dramaga;Female;25;4;4;4;4;4;5;4;4;4;3;4;5;4;5;overall good
10/04/2025 09.00;Bogor Selatan;Male;35;7;3;3;4;4;3;3;3;4;4;4;4;4;4;overall good
28/04/2025 02.36;Ciawi;Female;63;9;4;3;4;4;3;4;3;5;3;5;4;4;4;overall good
23/04/2025 06.26;Cijeruk;Male;47;8;4;4;4;4;4;3;4;4;5;4;3;3;4;overall good
27/04/2025 16.45;Gunung Putri;Female;27;9;3;3;3;3;3;2;3;2;4;3;2;3;3;improve Mobile Banking, Customer Service, Branch Cleanliness
26/04/2025 22.02;Leuwiliang;Male;53;9;4;4;5;4;5;4;4;5;3;5;3;4;5;overall good
27/04/2025 16.53;Kemang;Female;49;2;4;4;4;5;4;4;3;3;3;4;3;3;5;overall good
16/04/2025 16.50;Ciomas;Male;44;10;4;4;4;3;3;4;4;3;3;3;3;3;4;overall good
19/04/2025 04.58;Kemang;Female;36;7;4;4;4;4;5;4;3;3;4;4;3;3;4;overall good
22/04/2025 17.22;Cijeruk;Male;37;10;4;4;4;4;5;4;4;4;5;4;4;4;4;overall good
29/04/2025 22.06;Leuwiliang;Female;21;2;3;3;2;2;2;3;2;3;4;2;3;4;3;improve Account Opening, ATM Service, Internet Banking, Complaint Handling
01/04/2025 07.39;Bogor Tengah;Male;54;10;4;4;4;4;3;4;3;4;4;4;4;4;4;overall good
02/04/2025 01.17;Dramaga;Female;35;10;3;4;4;3;3;4;3;4;4;4;4;3;4;overall good
05/04/2025 13.51;Cileungsi;Male;56;7;4;4;4;5;4;4;4;4;4;4;5;3;4;overall good
13/04/2025 20.44;Bogor Barat;Female;50;9;4;4;4;4;3;4;4;4;4;4;4;4;4;overall good
15/04/2025 13.52;Bojonggede;Male;58;10;4;4;4;5;4;3;5;4;4;4;4;4;3;overall good
04/04/2025 17.56;Bogor Timur;Female;57;9;4;4;4;4;4;4;4;4;4;4;4;3;3;overall good
29/04/2025 21.29;Ciomas;Male;51;9;4;4;3;4;4;4;4;4;3;3;4;4;4;overall good
19/04/2025 12.32;Dramaga;Female;23;4;3;3;3;4;4;4;3;4;4;3;3;4;5;overall good
17/04/2025 21.22;Bogor Timur;Male;24;2;4;4;5;4;4;3;4;4;4;3;4;3;5;overall good
12/04/2025 00.08;Gunung Putri;Female;47;0;4;4;4;4;4;2;4;4;4;5;3;4;3;improve Mobile Banking
03/04/2025 15.03;Kemang;Male;21;8;4;4;4;5;4;5;4;4;4;4;4;4;5;overall good
16/04/2025 20.47;Dramaga;Female;54;9;3;4;3;3;3;3;4;3;4;4;3;4;4;overall good
20/04/2025 01.44;Ciawi;Male;65;9;4;4;4;3;3;3;3;3;4;4;3;3;3;overall good
11/04/2025 18.44;Babakan Madang;Female;59;7;3;3;4;3;4;3;3;4;3;3;3;3;4;overall good
07/04/2025 10.00;Gunung Putri;Male;39;7;4;3;4;4;4;4;3;4;4;3;3;4;4;overall good
27/04/2025 14.38;Ciomas;Female;26;9;4;3;4;3;4;4;3;3;3;4;3;3;3;overall good
07/04/2025 07.53;Leuwiliang;Male;37;10;4;3;4;4;4;4;4;4;4;4;4;4;4;overall good
20/04/2025 04.34;Tanah Sareal;Female;51;8;4;3;3;3;3;4;3;4;3;4;3;4;4;overall good
12/04/2025 18.19;Sukaraja;Male;33;7;4;3;4;3;4;3;3;4;5;4;5;4;4;overall good
28/04/2025 23.06;Bogor Timur;Female;38;8;4;4;4;4;3;5;5;5;4;4;5;5;5;overall good
18/04/2025 17.34;Bogor Timur;Male;28;8;4;4;4;3;4;4;4;4;5;4;3;3;3;overall good
15/04/2025 19.08;Bojonggede;Female;33;9;4;4;4;4;4;4;4;5;3;4;4;3;4;overall good
08/04/2025 01.53;Baranangsiang;Male;43;8;4;3;5;4;4;3;4;4;3;3;4;5;4;overall good
10/04/2025 16.39;Babakan Madang;Female;23;1;4;4;5;5;5;4;4;4;4;4;5;5;5;overall good
05/04/2025 03.58;Bojonggede;Male;30;6;3;4;4;3;4;4;4;4;3;3;3;4;4;overall good
14/04/2025 23.10;Bogor Selatan;Female;24;9;4;3;4;4;4;4;3;4;5;4;3;4;4;overall good
15/04/2025 19.29;Bogor Tengah;Male;42;0;3;4;3;3;3;4;4;3;3;3;4;2;3;improve Staff Friendliness
27/04/2025 02.49;Babakan Madang;Female;51;9;4;4;4;2;4;3;4;4;3;5;4;4;5;improve Account Opening
27/04/2025 15.23;Yasmin;Male;34;8;3;2;4;3;4;3;4;3;3;3;3;3;3;overall good
01/04/2025 21.25;Caringin;Female;60;1;3;3;4;4;4;3;3;3;4;4;4;4;5;overall good
03/04/2025 02.39;Leuwiliang;Male;58;4;3;4;3;4;4;5;5;4;4;4;4;4;3;overall good
30/04/2025 23.58;Cileungsi;Female;31;9;4;4;4;3;4;3;4;5;3;4;3;4;4;overall good
04/04/2025 05.35;Cileungsi;Male;24;9;4;4;4;3;4;4;3;2;4;4;4;5;4;improve Customer Service
06/04/2025 05.42;Leuwiliang;Female;63;10;3;4;4;3;4;4;4;3;3;2;4;4;4;improve Complaint Handling
19/04/2025 18.19;Bogor Tengah;Male;39;5;4;4;4;3;4;4;4;4;4;4;4;4;4;overall good
16/04/2025 07.31;Cibinong;Female;45;7;3;4;5;4;4;4;3;4;4;4;4;4;4;overall good
10/04/2025 15.42;Caringin;Male;59;7;4;4;4;4;4;3;4;4;3;4;3;3;4;overall good
02/04/2025 22.18;Ciawi;Female;50;7;4;4;3;4;3;4;4;3;4;3;4;3;3;overall good
20/04/2025 02.20;Cibinong;Male;54;10;3;4;4;4;3;4;3;4;3;3;4;4;4;overall good
18/04/2025 06.02;Baranangsiang;Female;22;10;3;4;3;4;2;3;3;2;3;4;4;4;4;improve ATM Service, Customer Service
14/04/2025 09.25;Dramaga;Male;36;4;4;4;3;3;4;4;4;3;4;5;4;4;4;overall good
02/04/2025 10.19;Bogor Barat;Female;61;10;4;4;4;4;4;4;5;4;5;4;4;5;4;overall good
20/04/2025 01.41;Cijeruk;Male;38;10;4;4;4;4;4;4;4;4;5;5;4;5;4;overall good
21/04/2025 06.13;Tanah Sareal;Female;26;7;4;3;3;3;3;4;3;3;4;3;3;4;3;overall good
30/04/2025 09.18;Cibinong;Male;57;10;3;3;3;3;3;3;4;2;3;3;3;3;4;improve Customer Service
07/04/2025 17.27;Ciomas;Female;49;7;3;4;4;3;4;3;3;4;4;4;3;4;4;overall good
07/04/2025 16.54;Sukaraja;Male;55;7;4;4;3;5;3;3;4;5;4;4;4;4;3;overall good
21/04/2025 21.03;Dramaga;Female;65;7;4;4;4;4;3;4;3;3;5;4;4;3;4;overall good
16/04/2025 09.54;Tanah Sareal;Male;62;7;5;5;4;4;4;4;4;4;5;5;4;5;5;overall good
09/04/2025 22.31;Bogor Timur;Female;56;7;3;4;3;4;4;4;4;3;4;3;4;4;3;overall good
21/04/2025 02.23;Ciomas;Male;30;8;4;4;4;3;3;3;4;3;4;5;4;4;5;overall good
08/04/2025 09.02;Gunung Putri;Female;40;10;4;4;4;4;4;5;4;4;4;4;4;5;4;overall good
30/04/2025 17.00;Yasmin;Male;27;9;3;4;3;4;3;3;3;3;3;3;4;3;3;overall good
12/04/2025 05.01;Kemang;Female;38;4;3;4;3;4;4;4;3;3;4;4;3;3;4;overall good
18/04/2025 10.34;Kemang;Male;35;9;4;4;4;3;4;3;3;3;4;3;4;4;3;overall good
25/04/2025 09.15;Bogor Timur;Female;65;7;4;4;5;4;4;4;5;4;4;4;5;5;4;overall good
09/04/2025 22.20;Kemang;Male;51;8;4;3;3;3;4;3;4;3;4;4;3;4;5;overall good
10/04/2025 09.09;Leuwiliang;Female;52;9;4;4;4;3;4;3;4;4;4;3;4;3;3;overall good
14/04/2025 02.24;Cibinong;Male;23;9;4;3;4;4;4;4;4;4;4;4;4;4;4;overall good
10/04/2025 22.19;Gunung Putri;Female;35;1;3;4;4;3;4;3;4;4;4;3;3;4;4;overall good
30/04/2025 22.55;Bogor Timur;Male;32;3;3;4;4;3;5;4;3;3;3;4;3;4;4;overall good
12/04/2025 23.31;Caringin;Female;65;10;4;4;4;4;5;4;4;4;4;4;5;4;4;overall good
16/04/2025 04.33;Gunung Putri;Male;46;8;4;3;3;4;3;4;4;3;4;4;4;4;4;overall good
29/04/2025 19.50;Leuwiliang;Female;60;4;3;4;4;5;3;4;4;4;3;3;4;3;3;overall good
26/04/2025 06.36;Cijeruk;Male;54;7;4;3;4;4;3;3;3;3;3;4;4;3;4;overall good
12/04/2025 22.17;Bogor Selatan;Female;49;9;4;3;3;4;4;3;5;4;3;4;5;3;4;overall good
28/04/2025 01.46;Ciawi;Male;55;9;4;4;4;4;5;4;4;3;4;4;4;4;4;overall good
10/04/2025 05.11;Leuwiliang;Female;54;7;5;5;4;4;4;5;4;5;4;5;4;5;5;overall good
14/04/2025 21.06;Dramaga;Male;49;10;5;4;4;4;3;4;4;4;4;4;4;4;4;overall good
26/04/2025 02.18;Babakan Madang;Female;31;7;3;4;3;4;4;3;3;4;4;3;4;4;3;overall good
05/04/2025 09.22;Tanah Sareal;Male;50;3;4;4;3;3;4;3;4;3;2;4;3;4;3;improve Loan Application
20/04/2025 01.57;Ciawi;Female;28;9;4;3;3;4;3;3;4;4;3;3;4;4;3;overall good
23/04/2025 00.34;Gunung Putri;Male;41;9;4;4;4;4;4;4;3;3;4;5;3;4;4;overall good
13/04/2025 03.22;Sukaraja;Female;33;0;4;4;4;3;5;4;3;4;3;4;3;4;4;overall good
06/04/2025 23.56;Ciomas;Male;65;7;5;4;5;3;4;4;4;4;4;4;4;5;5;overall good
05/04/2025 03.23;Bogor Timur;Female;28;8;4;4;5;4;4;5;4;4;4;4;5;5;4;overall good
19/04/2025 09.11;Ciawi;Male;45;7;4;4;4;4;5;5;4;5;5;4;3;5;5;overall good
17/04/2025 06.31;Cijeruk;Female;45;9;3;3;3;4;4;4;4;3;3;4;4;4;4;overall good
08/04/2025 00.28;Sukaraja;Male;63;1;3;4;4;3;3;4;4;4;4;4;4;3;3;overall good
22/04/2025 15.55;Baranangsiang;Female;24;10;4;4;4;4;4;4;5;4;4;4;5;3;5;overall good
10/04/2025 20.20;Dramaga;Male;61;9;4;3;4;4;4;3;4;4;4;3;3;5;3;overall good
23/04/2025 06.21;Bogor Tengah;Female;60;0;3;3;4;4;4;4;4;3;5;4;3;4;4;overall good
30/04/2025 12.21;Caringin;Male;52;7;4;4;4;4;4;4;4;3;4;4;2;4;3;improve Branch Cleanliness
23/04/2025 00.38;Caringin;Female;36;10;3;4;4;4;4;3;4;4;4;4;4;2;3;improve Staff Friendliness
12/04/2025 21.06;Gunung Putri;Male;49;9;3;4;4;4;4;4;4;3;4;4;3;4;4;overall good
03/04/2025 08.59;Cijeruk;Female;38;7;4;4;4;5;4;4;5;4;4;5;4;3;4;overall good
02/04/2025 18.46;Baranangsiang;Male;30;10;4;3;4;3;2;4;4;4;3;3;4;4;4;improve ATM Service
17/04/2025 01.46;Tanah Sareal;Female;23;8;4;3;4;4;4;4;4;4;5;4;4;3;4;overall good
08/04/2025 19.58;Bogor Timur;Male;24;9;4;4;4;5;3;4;3;3;4;3;4;4;4;overall good
23/04/2025 02.30;Dramaga;Female;60;7;4;3;4;3;3;3;3;4;4;3;4;3;3;overall good
15/04/2025 12.42;Sukaraja;Male;44;0;4;4;4;3;5;4;4;4;3;4;4;4;5;overall good
21/04/2025 17.52;Ciomas;Female;44;7;5;4;4;4;4;5;3;4;5;4;4;4;5;overall good
06/04/2025 22.10;Cijeruk;Male;25;9;3;4;3;3;4;4;4;4;4;3;3;5;4;overall good
11/04/2025 03.33;Cileungsi;Female;42;7;4;4;4;4;4;4;4;4;4;5;5;5;5;overall good
24/04/2025 11.30;Kemang;Male;24;9;3;4;3;4;4;4;4;3;4;3;3;4;4;overall good
13/04/2025 14.31;Kemang;Female;39;10;4;4;4;3;3;4;4;4;4;4;4;4;5;overall good
07/04/2025 07.07;Ciawi;Male;57;8;5;4;4;3;3;3;3;4;4;4;4;4;5;overall good
24/04/2025 21.48;Kemang;Female;57;8;3;3;4;2;3;3;4;4;3;3;4;3;3;improve Account Opening
10/04/2025 09.30;Baranangsiang;Male;60;10;5;5;4;3;4;4;4;5;3;5;4;5;4;overall good
11/04/2025 01.33;Bogor Tengah;Female;28;9;3;3;4;3;4;4;4;4;4;4;3;3;4;overall good
17/04/2025 23.22;Kemang;Male;47;10;4;4;4;3;4;3;4;3;2;3;3;4;4;improve Loan Application
14/04/2025 16.07;Cijeruk;Female;61;9;4;4;3;3;3;4;3;3;3;4;3;3;3;overall good
01/04/2025 07.08;Cileungsi;Male;25;10;4;4;5;4;4;5;4;4;4;5;4;5;5;overall good
28/04/2025 14.50;Bogor Selatan;Female;64;10;3;4;4;5;4;4;3;3;4;5;4;4;4;overall good
17/04/2025 01.04;Kemang;Male;22;1;4;4;4;5;4;4;4;4;4;4;4;5;5;overall good
02/04/2025 17.25;Ciomas;Female;64;10;4;4;4;5;5;4;3;5;4;4;4;3;5;overall good
27/04/2025 01.36;Tanah Sareal;Male;51;10;3;3;4;3;4;3;3;3;3;3;3;3;3;overall good
03/04/2025 17.16;Ciomas;Female;50;8;4;3;4;4;4;4;4;3;3;5;3;3;4;overall good
27/04/2025 22.49;Ciawi;Male;40;8;4;4;4;4;4;4;4;4;4;4;4;5;3;overall good
18/04/2025 03.58;Cijeruk;Female;22;10;4;4;4;5;4;4;5;4;4;4;4;4;4;overall good
17/04/2025 11.08;Bogor Timur;Male;30;9;4;4;4;4;3;4;5;4;4;4;4;4;4;overall good
28/04/2025 17.14;Leuwiliang;Female;61;7;4;3;3;4;4;4;3;4;3;4;3;4;4;overall good
15/04/2025 23.10;Kemang;Male;45;9;3;4;4;3;3;4;4;3;3;4;3;4;4;overall good
25/04/2025 03.06;Ciomas;Female;23;9;4;4;4;4;4;4;4;3;4;4;4;4;3;overall good
11/04/2025 11.49;Cibinong;Male;44;8;3;4;3;3;3;3;3;4;3;4;4;3;3;overall good
02/04/2025 19.34;Ciawi;Female;40;10;4;3;3;4;4;4;5;4;4;3;3;4;3;overall good
24/05/2025 10.20;Yasmin;Male;26;9;4;4;4;5;4;5;5;5;4;5;5;5;4;overall good
26/05/2025 10.04;Ciawi;Female;30;10;3;3;4;3;4;3;3;3;3;4;4;3;4;overall good
26/05/2025 01.21;Dramaga;Male;41;9;4;5;4;5;4;4;4;4;4;4;4;3;5;overall good
19/05/2025 19.34;Tanah Sareal;Female;34;3;3;3;3;3;3;4;4;4;3;3;3;4;4;overall good
29/05/2025 20.23;Ciawi;Male;28;9;4;4;4;4;4;4;3;3;4;5;4;4;3;overall good
06/05/2025 00.07;Bogor Timur;Female;42;7;3;3;4;2;3;3;3;4;4;3;3;3;3;improve Account Opening
29/05/2025 00.54;Ciawi;Male;63;7;4;3;4;4;4;4;4;4;3;4;4;4;4;overall good
10/05/2025 17.39;Dramaga;Female;61;2;4;4;4;4;4;4;5;4;4;4;5;3;4;overall good
22/05/2025 09.56;Yasmin;Male;39;10;3;3;3;3;3;3;4;4;4;4;4;4;3;overall good
